date,description,amount,category
2026-04-20,Uber Trip to Downtown,24.5,Miscellaneous
2026-04-21,Monthly Netflix Premium,19.99,Subscriptions
2026-04-21,Chipotle Mexican Grill,15.75,Miscellaneous
2026-04-22,Shell Oil Gas Station,55.0,Transport
2026-04-22,Amazon Web Services Cloud,32.1,Miscellaneous
2026-04-23,Starbucks Coffee,6.5,Food & Drink
2026-04-23,Steam Games - Elden Ring,59.99,Entertainment
2026-04-24,Whole Foods Market,88.2,Groceries
2026-04-24,Spotify Family Plan,16.99,Miscellaneous
2026-04-25,Apple App Store,4.99,Miscellaneous
